,Title,Year,Genre,Awards,Metascore,BoxOffice
259,Original Sin,2001,"Drama, Mystery, Romance, Thriller",2 nominations.,33,"$15,113,699"
225,Pearl Harbor,2001,"Action, Drama, History, Romance, War",Won 1 Oscar. Another 13 wins & 51 nominations.,44,"$197,761,540"
257,Rat Race,2001,"Adventure, Comedy",3 nominations.,52,"$55,843,381"
188,Monkeybone,2001,"Animation, Comedy, Fantasy",3 nominations.,40,"$4,942,155"
189,3000 Miles to Graceland,2001,"Action, Comedy, Crime, Thriller",12 nominations.,21,"$15,346,114"
190,The Mexican,2001,"Adventure, Comedy, Crime, Romance",3 wins & 1 nomination.,43,"$66,588,591"
191,15 Minutes,2001,"Action, Crime, Drama, Thriller",1 nomination.,34,"$24,160,216"
193,See Spot Run,2001,"Action, Comedy, Crime, Family",1 nomination.,24,"$32,486,094"
194,Get Over It,2001,"Comedy, Romance",4 nominations.,52,"$11,294,663"
195,Moulin Rouge!,2001,"Drama, Musical, Romance",Won 2 Oscars. Another 84 wins & 129 nominations.,66,"$55,093,223"
196,Say It Isn't So,2001,"Comedy, Romance",1 nomination.,21,"$4,847,667"
197,Exit Wounds,2001,"Action, Comedy, Crime, Drama, Thriller",3 nominations.,39,N/A
198,Enemy at the Gates,2001,"Drama, History, War",4 nominations.,53,"$50,507,533"
199,Elling,2001,"Comedy, Drama",Nominated for 1 Oscar. Another 14 wins & 4 nominations.,70,"$63,227"
200,Spy Kids,2001,"Action, Adventure, Comedy, Family, Sci-Fi",2 wins & 10 nominations.,71,N/A
201,Heartbreakers,2001,"Comedy, Crime, Romance",4 nominations.,47,N/A
202,The Brothers,2001,"Comedy, Drama",1 win & 8 nominations.,50,"$26,553,854"
203,Brigham City,2001,"Crime, Drama, Mystery",3 wins.,62,N/A
204,Tomcats,2001,Comedy,2 nominations.,15,"$12,853,541"
205,Someone Like You...,2001,"Comedy, Romance",N/A,32,"$26,714,909"
206,Blow,2001,"Biography, Crime, Drama",3 wins & 9 nominations.,52,N/A
207,Along Came a Spider,2001,"Drama, Thriller",1 win & 1 nomination.,42,"$73,587,034"
187,Down to Earth,2001,"Comedy, Fantasy",3 nominations.,32,"$63,095,559"
208,Just Visiting,2001,"Comedy, Fantasy, Sci-Fi",N/A,38,N/A
186,Sweet November,2001,"Drama, Romance",3 nominations.,27,"$24,418,719"
184,Saving Silverman,2001,"Comedy, Crime, Romance",N/A,22,"$18,968,154"
166,Harvard Man,2001,"Comedy, Crime, Drama, Romance, Thriller",N/A,49,N/A
258,The Others,2001,"Horror, Mystery, Thriller",Nominated for 1 Golden Globe. Another 28 wins & 51 nominations.,74,"$96,080,075"
167,American Desi,2001,"Comedy, Drama, Romance",N/A,50,"$630,133"
168,The Pledge,2001,"Crime, Drama, Mystery, Thriller",1 win & 6 nominations.,71,"$18,894,185"
169,Double Take,2001,"Action, Comedy, Crime, Thriller",N/A,25,N/A
170,Antitrust,2001,"Action, Crime, Drama, Thriller",2 wins & 3 nominations.,31,"$10,965,209"
171,Save the Last Dance,2001,"Drama, Music, Romance",6 wins & 8 nominations.,53,N/A
172,Dogtown and Z-Boys,2001,"Documentary, Sport",7 wins & 6 nominations.,76,"$1,187,606"
173,Donnie Darko,2001,"Drama, Sci-Fi, Thriller",11 wins & 15 nominations.,88,N/A
174,Super Troopers,2001,"Comedy, Crime, Mystery",1 win.,48,"$18,380,350"
175,The Business of Strangers,2001,"Drama, Thriller",4 wins & 6 nominations.,67,"$495,907"
176,The Believer,2001,Drama,6 wins & 10 nominations.,75,N/A
177,The Caveman's Valentine,2001,"Crime, Drama, Music",4 nominations.,44,N/A
178,L.I.E.,2001,"Crime, Drama",20 wins & 18 nominations.,73,N/A
179,Madison,2001,"Drama, Sport",N/A,43,"$466,285"
180,The Wedding Planner,2001,"Comedy, Romance",2 wins & 6 nominations.,33,N/A
181,Recess: School's Out,2001,"Animation, Comedy, Family, Mystery, Sci-Fi",N/A,43,"$34,801,195"
182,Valentine,2001,"Horror, Mystery, Thriller",1 win.,18,"$19,755,422"
183,Head Over Heels,2001,"Comedy, Mystery, Romance",N/A,27,"$9,892,550"
185,The Tailor of Panama,2001,"Comedy, Drama, Thriller",1 win & 1 nomination.,66,"$13,123,070"
209,Josie and the Pussycats,2001,"Comedy, Music",5 nominations.,47,"$14,126,075"
453,Never Again,2001,"Comedy, Romance",1 nomination.,30,"$196,147"
211,The Other Side of Heaven,2001,"Adventure, Biography, Drama",1 win.,38,N/A
237,Crazy/Beautiful,2001,"Drama, Romance",5 nominations.,61,"$16,162,786"
238,Pootie Tang,2001,"Action, Adventure, Comedy, Musical",1 nomination.,31,"$2,839,456"
239,A.I. Artificial Intelligence,2001,"Adventure, Drama, Sci-Fi",Nominated for 2 Oscars. Another 16 wins & 67 nominations.,65,N/A
240,Jeepers Creepers,2001,"Horror, Mystery",3 wins & 6 nominations.,49,N/A
241,Final Fantasy: The Spirits Within,2001,"Animation, Action, Adventure, Fantasy, Romance, Sci-Fi",3 wins & 10 nominations.,49,N/A
243,Scary Movie 2,2001,Comedy,3 wins & 4 nominations.,29,N/A
244,Kiss of the Dragon,2001,"Action, Crime, Drama, Thriller",N/A,58,"$34,705,149"
246,Legally Blonde,2001,"Comedy, Romance",Nominated for 2 Golden Globes. Another 6 wins & 10 nominations.,59,"$95,001,351"
247,The Score,2001,"Crime, Drama, Thriller",1 win & 1 nomination.,71,"$70,307,038"
248,Made,2001,"Comedy, Crime, Drama, Thriller",1 nomination.,62,"$3,673,981"
249,High Heels and Low Lifes,2001,"Action, Drama, Comedy",1 nomination.,39,N/A
250,America's Sweethearts,2001,"Comedy, Romance",1 win & 2 nominations.,44,"$93,008,426"
251,Jurassic Park III,2001,"Action, Adventure, Sci-Fi, Thriller",5 wins & 15 nominations.,42,N/A
252,Hedwig and the Angry Inch,2001,"Comedy, Drama, Music, Musical",Nominated for 1 Golden Globe. Another 28 wins & 32 nominations.,85,"$1,547,128"
253,Spirited Away,2001,"Animation, Adventure, Family, Fantasy, Mystery",Won 1 Oscar. Another 56 wins & 27 nominations.,96,"$9,855,615"
254,Ghost World,2001,"Comedy, Drama",Nominated for 1 Oscar. Another 28 wins & 55 nominations.,88,"$4,694,484"
255,Jason X,2001,"Action, Horror, Sci-Fi, Thriller",1 nomination.,25,"$12,610,731"
256,Planet of the Apes,2001,"Action, Adventure, Sci-Fi, Thriller",Nominated for 2 BAFTA Film Awards. Another 10 wins & 27 nominations.,50,"$178,094,583"
210,Joe Dirt,2001,"Adventure, Comedy, Drama",1 win & 3 nominations.,20,"$27,087,695"
235,Baby Boy,2001,"Crime, Drama, Romance, Thriller",1 win & 14 nominations.,55,"$27,823,989"
234,Dr. Dolittle 2,2001,"Comedy, Family, Fantasy",3 wins & 6 nominations.,49,"$111,484,392"
245,Shaolin Soccer,2001,"Action, Comedy, Fantasy, Sport",12 wins & 14 nominations.,68,"$172,448"
232,Bully,2001,"Biography, Crime, Drama",3 wins & 1 nomination.,45,N/A
212,Crocodile Dundee in Los Angeles,2001,"Adventure, Comedy, Crime",1 win & 2 nominations.,37,"$25,264,107"
213,Bridget Jones's Diary,2001,"Comedy, Drama, Romance",Nominated for 1 Oscar. Another 8 wins & 29 nominations.,66,N/A
214,Freddy Got Fingered,2001,Comedy,12 wins & 6 nominations.,13,"$13,748,199"
233,The Fast and the Furious,2001,"Action, Crime, Thriller",11 wins & 12 nominations.,58,"$142,542,950"
216,Amélie,2001,"Comedy, Romance",Nominated for 5 Oscars. Another 58 wins & 65 nominations.,69,N/A
3365,Heist,2001,"Action, Crime, Drama, Thriller",N/A,66,"$23,287,872"
218,The Forsaken,2001,"Horror, Thriller",N/A,35,"$6,258,942"
219,Driven,2001,"Action, Drama, Sport",1 win & 10 nominations.,29,N/A
220,The Mummy Returns,2001,"Action, Adventure, Fantasy, Thriller",6 wins & 16 nominations.,48,"$200,691,120"
221,A Knight's Tale,2001,"Action, Adventure, Romance",4 wins & 10 nominations.,56,"$55,001,689"
215,Kissing Jessica Stein,2001,"Comedy, Drama, Romance",8 wins & 3 nominations.,72,"$6,960,929"
223,Mulholland Drive,2001,"Drama, Mystery, Thriller",Nominated for 1 Oscar. Another 47 wins & 57 nominations.,83,"$7,077,663"
222,Angel Eyes,2001,"Drama, Romance",3 wins & 5 nominations.,39,N/A
224,Shrek,2001,"Animation, Adventure, Comedy, Family, Fantasy",Won 1 Oscar. Another 36 wins & 60 nominations.,84,"$266,982,666"
226,What's the Worst That Could Happen?,2001,"Comedy, Crime",N/A,37,"$31,090,224"
