,Title,Year,Genre,Awards,Metascore,BoxOffice
1810,Armored,2009,"Action, Crime, Thriller",none,50.0,"$15,988,876"
1811,Everybody's Fine,2009,"Adventure, Drama",Nominated for 1 Golden Globe. Another 1 win & 5 nominations.,47.0,"$8,855,646"
1812,The Princess and the Frog,2009,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",Nominated for 3 Oscars. Another 11 wins & 38 nominations.,73.0,"$104,374,107"
1813,Avatar,2009,"Action, Adventure, Fantasy, Sci-Fi",Won 3 Oscars. Another 85 wins & 128 nominations.,83.0,"$749,700,000"
1814,Invictus,2009,"Biography, Drama, History, Sport",Nominated for 2 Oscars. Another 10 wins & 33 nominations.,74.0,"$37,431,431"
1815,"A Woman, a Gun and a Noodle Shop",2009,"Comedy, Drama",2 nominations.,57.0,"$190,666"
1816,Rocket Singh: Salesman of the Year,2009,"Comedy, Drama",none,0.0,$0
1817,Crazy Heart,2009,"Drama, Music, Romance",Won 2 Oscars. Another 36 wins & 29 nominations.,83.0,"$38,349,555"
1818,Old Dogs,2009,"Comedy, Family",5 nominations.,19.0,"$49,474,048"
1819,Did You Hear About the Morgans?,2009,"Comedy, Drama, Romance",1 nomination.,27.0,"$29,580,087"
1809,Bride Wars,2009,"Comedy, Romance",1 win & 8 nominations.,24.0,"$58,637,818"
1834,The Boondock Saints II: All Saints Day,2009,"Action, Crime, Thriller",none,24.0,"$10,150,172"
1821,Sherlock Holmes,2009,"Action, Adventure, Crime, Mystery, Thriller",Nominated for 2 Oscars. Another 10 wins & 27 nominations.,57.0,"$208,711,166"
1820,Alvin and the Chipmunks: The Squeakquel,2009,"Animation, Comedy, Family, Fantasy, Music",3 wins.,41.0,"$219,304,216"
1831,The Deported,2009,Comedy,none,0.0,$0
1830,Princess Kaiulani,2009,Drama,2 wins.,41.0,"$883,887"
1829,Survival of the Dead,2009,"Comedy, Drama, Horror, Thriller",2 nominations.,43.0,"$1,914"
1828,Chain Letter,2009,"Horror, Thriller",none,0.0,"$138,788"
1807,The Road,2009,"Adventure, Drama",Nominated for 1 BAFTA Film Award. Another 5 wins & 31 nominations.,64.0,"$8,025,059"
1826,The Perfect Game,2009,"Comedy, Drama, Family, Sport",none,42.0,"$1,000,000"
1778,The Secret in Their Eyes,2009,"Drama, Mystery, Romance, Thriller",Won 1 Oscar. Another 51 wins & 40 nominations.,80.0,"$6,390,014"
1825,Bran Nue Dae,2009,"Comedy, Drama, Musical",3 wins & 17 nominations.,54.0,"$100,000"
1824,The Lovely Bones,2009,"Drama, Fantasy, Thriller",Nominated for 1 Oscar. Another 10 wins & 45 nominations.,42.0,"$43,982,842"
1823,Nowhere Boy,2009,"Biography, Drama, Music, Romance",Nominated for 3 BAFTA Film Awards. Another 6 wins & 18 nominations.,67.0,"$1,445,366"
1827,After.Life,2009,"Drama, Horror, Mystery, Thriller",1 nomination.,36.0,$0
1832,Bodyguards and Assassins,2009,"Action, Drama, History",18 wins & 39 nominations.,0.0,$0
1806,The Horse Boy,2009,Documentary,1 nomination.,64.0,$0
1833,Chicago Overcoat,2009,"Action, Adventure, Crime, Drama",2 wins & 5 nominations.,0.0,$0
1835,Planet 51,2009,"Animation, Adventure, Comedy, Family, Sci-Fi",4 wins & 4 nominations.,39.0,"$42,194,060"
1838,The Janky Promoters,2009,"Comedy, Crime, Music",none,0.0,$0
1839,Triangle,2009,"Fantasy, Mystery, Thriller",1 win & 5 nominations.,0.0,$0
1840,Where the Wild Things Are,2009,"Adventure, Drama, Family, Fantasy",Nominated for 1 Golden Globe. Another 7 wins & 53 nominations.,71.0,"$77,222,184"
1841,The Stepfather,2009,"Crime, Thriller",2 nominations.,33.0,"$29,062,561"
1842,The Men Who Stare at Goats,2009,"Comedy, War",1 win & 1 nomination.,54.0,"$32,400,000"
1843,Oceans,2009,"Documentary, Drama",2 wins & 4 nominations.,75.0,"$19,000,000"
1844,A Single Man,2009,"Drama, Romance",Nominated for 1 Oscar. Another 36 wins & 55 nominations.,77.0,"$9,098,668"
1845,The Mighty Macs,2009,"Drama, Sport",none,49.0,"$1,889,522"
1846,Saw VI,2009,"Horror, Mystery",2 nominations.,30.0,"$27,669,413"
1847,Forget Me Not,2009,"Horror, Romance, Thriller",none,0.0,$0
1848,The Blind Side,2009,"Biography, Drama, Sport",Won 1 Oscar. Another 7 wins & 30 nominations.,53.0,"$255,900,000"
1836,Law Abiding Citizen,2009,"Crime, Drama, Thriller",3 wins & 5 nominations.,34.0,"$73,343,413"
1860,Harry Brown,2009,"Action, Crime, Drama, Thriller",1 win & 4 nominations.,55.0,"$1,818,681"
1849,Fantastic Mr. Fox,2009,"Animation, Adventure, Comedy, Crime, Drama, Family",Nominated for 2 Oscars. Another 32 wins & 60 nominations.,83.0,"$21,000,000"
1852,This Is It,2009,"Documentary, Music",7 wins & 9 nominations.,67.0,"$71,844,424"
1853,An Education,2009,Drama,Nominated for 3 Oscars. Another 35 wins & 91 nominations.,85.0,"$12,512,069"
1854,A Christmas Carol,2009,"Animation, Drama, Family, Fantasy",3 wins & 5 nominations.,55.0,"$137,816,456"
1855,To Save a Life,2009,Drama,2 nominations.,19.0,"$3,700,734"
1856,Bright Star,2009,"Biography, Drama, Romance",Nominated for 1 Oscar. Another 16 wins & 52 nominations.,81.0,"$4,341,275"
1857,The Fourth Kind,2009,"Mystery, Sci-Fi, Thriller",1 nomination.,34.0,"$25,500,000"
1858,Precious,2009,Drama,Won 2 Oscars. Another 111 wins & 98 nominations.,79.0,"$47,536,959"
1859,Mother and Child,2009,"Drama, Romance",4 wins & 12 nominations.,64.0,"$1,110,286"
1861,The Messenger,2009,"Drama, Romance, War",Nominated for 2 Oscars. Another 17 wins & 44 nominations.,77.0,"$1,006,655"
1862,Cirque du Freak: The Vampire's Assistant,2009,"Action, Adventure, Fantasy, Thriller",1 win.,43.0,"$13,838,130"
1805,Life During Wartime,2009,"Comedy, Drama",3 wins & 8 nominations.,69.0,"$278,821"
